epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.93,3.67861,4.59276,3.98213,0.13151,0.00975,0.00212,0.00061,3.69738,4.19921,3.46401,0.000275909,0.000275909,0.000275909
2,1172.82,2.7724,3.57082,2.9459,0.09873,0.0696,0.04157,0.01264,2.80956,3.20414,2.49049,0.000548096,0.000548096,0.000548096
3,1320.54,2.28295,3.02808,2.44414,0.08686,0.20375,0.10936,0.04692,2.36599,2.95958,2.04725,0.000814784,0.000814784,0.000814784
4,1468.48,2.03022,2.65685,2.18119,0.27218,0.3206,0.25167,0.11168,2.11233,2.33201,1.79926,0.00080826,0.00080826,0.00080826
5,1617.11,1.8858,2.40497,2.01907,0.37465,0.33259,0.29247,0.12741,2.04896,2.16952,1.69576,0.000800013,0.000800013,0.000800013
6,1764.38,1.79159,2.24128,1.91956,0.58487,0.31655,0.33746,0.16086,1.89673,2.00901,1.60127,0.000791767,0.000791767,0.000791767
7,1913.15,1.71684,2.0949,1.84743,0.49279,0.40184,0.41596,0.21437,1.77532,1.81011,1.51447,0.00078352,0.00078352,0.00078352
8,2063.43,1.67789,1.98702,1.79755,0.43099,0.39314,0.41309,0.20849,1.79231,1.87426,1.50428,0.000775273,0.000775273,0.000775273
9,2210.87,1.62329,1.90815,1.74435,0.55737,0.3998,0.46374,0.25934,1.62141,1.68699,1.43049,0.000767026,0.000767026,0.000767026
10,2358.56,1.57751,1.80955,1.69988,0.49664,0.46863,0.49581,0.26667,1.62168,1.6258,1.41163,0.00075878,0.00075878,0.00075878
11,2505.42,1.53927,1.73635,1.66038,0.54781,0.49116,0.49763,0.27883,1.58194,1.52037,1.37255,0.000750533,0.000750533,0.000750533
12,2654.27,1.51584,1.68066,1.63701,0.61692,0.47684,0.52387,0.29673,1.51596,1.44585,1.35318,0.000742286,0.000742286,0.000742286
13,2803.69,1.48503,1.62284,1.60527,0.60406,0.5086,0.52676,0.30625,1.47507,1.41205,1.31146,0.00073404,0.00073404,0.00073404
14,2950.78,1.47649,1.60746,1.59573,0.58317,0.51191,0.53523,0.31744,1.46161,1.39643,1.30301,0.000725793,0.000725793,0.000725793
15,3097.97,1.44987,1.55425,1.56549,0.57825,0.50815,0.55521,0.31832,1.48496,1.36803,1.31464,0.000717546,0.000717546,0.000717546
16,3244.51,1.42859,1.52136,1.55277,0.61855,0.57468,0.59336,0.35175,1.42867,1.30704,1.27512,0.000709299,0.000709299,0.000709299
17,3392.93,1.40051,1.47179,1.52422,0.58046,0.5475,0.57166,0.33713,1.44183,1.32237,1.30471,0.000701053,0.000701053,0.000701053
